"","customer","supplier","qty"
"191","Cheminova","YARA",100
"192","Cheminova","ACHEMA",130
"193","Cheminova","SKW",300
"194","Helm (Varoius)","YARA",251
"195","Falck Nutec Esbjerg","YARA",3
"196","Helm","YARA",284
"197","Helm","SKW",500
"198","Helm Skandinavien","YARA",284
"199","Helm Skandinavien","YARA",7401
"200","Haldor Tops›e","YARA",6799
"201","Haldor Tops›e","BASF",28201
"202","Haldor Tops›e","BRENNTAG",300
"203","Haldor Tops›e A/S","YARA",6799
"204","CP Kelco","YARA",8791
"205","CP Kelco ApS","YARA",29
"206","Novo Zymes","YARA",1833
"207","Novo Zymes","BRENNTAG",1200
"208","Xelia Pharmaceutivals Aps","YARA",114
"209","H. Lundbeck A/S","YARA",105
"210","Royal Unibrew","YARA",36
"211","Novo Nordisk","YARA",2116
"212","Novo Nordisk  A/S","YARA",27
"213","Pro Glue","YARA",10
"214","Amminex","YARA",145
"215","PKI","YARA",9
"216","PKI Supply A/S","YARA",21
"217","Copenhagen Chemicals Aps","YARA",100
"218","ALGOL CHEMICALS ApS","YARA",3
"219","ALGOL CHEMICALS ApS","YARA",5
"220","Tucze-Agro Aps","YARA",1004
"221","Forsvarsministeriet","YARA",1
"222","Glycom manufacturing A/S","YARA",68
"223","Dan Fertilizer","YARA",373
"224","Dan Fertilizer","YARA",1398
"225","Caldic Denmark A/S","YARA",25
"226","Norlex Chemicals","YARA",25
"227","Cool Fix","YARA",6
"228","Yara Danmark A/S","YARA",1315
"229","Flexg›dning AS","YARA",21
"230","Div. bryggerier","BRENNTAG",250
"231","TELKO OY","YARA",44
"232","ALGOL CHEMICALS OY","YARA",383
"233","ALGOL CHEMICALS OY","YARA",543
"234","ALGOL CHEMICALS OY","YARA",2
"235","ALGOL CHEMICALS OY","YARA",16
"236","OSTP FINLAND OY AB","YARA",60
"237","OSTP FINLAND OY AB","ACHEMA",152
"238","BOLIDEN HARJAVALTA OY","YARA",60
"239","BOLIDEN HARJAVALTA OY","ACHEMA",13
"240","SAVON SELLU OY","YARA",42090
"241","SAVON SELLU OY","YARA",27
"242","OSUUSKUNTA MAITOMAA","YARA",40
"243","NAMMO VIHTAVUORI OY","GRUPA_AZOTY",720
"244","NAMMO VIHTAVUORI OY","YARA",30
"245","BULKCHEM OY","YARA",2161
"246","OY TEOLLISUUSHANKINTA TH AB","YARA",213
"247","SUOMEN HIIVA OY LAHDEN TEHDAS","OTHER EASTERN EUROPEAN",800
"248","SUOMEN HIIVA OY LAHDEN TEHDAS","YARA",40
"249","FREEPORT COBALT OY","YARA",100
"250","FREEPORT COBALT OY","ACHEMA",462
"251","FREEPORT COBALT OY","YARA",60
"252","FREEPORT COBALT OY","ACHEMA",159
"253","FREEPORT COBALT OY","YARA",12
"254","OKMETIC OYJ","YARA",134
"255","FORTUM POWER AND HEAT OY","YARA",12
"256","NORILSK NICKEL HARJAVALTA OY","YARA",100
"257","NORILSK NICKEL HARJAVALTA OY","ACHEMA",22684
"258","DINEX ECOCAT OY","YARA",10
"259","ROAL OY","YARA",838
"260","KEMIRA OYJ","YARA",573
"261","CABB OY","YARA",68
"262","SAINT-GOBAIN RAKENNUSTUOTTEET OY","ACHEMA",100
"263","SAINT-GOBAIN RAKENNUSTUOTTEET OY","ACHEMA",25
"264","SAINT-GOBAIN RAKENNUSTUOTTEET OY","ACRON",74
"265","HAARLA OY","YARA",17
"266","HAARLA OY","YARA",330
"267","PAROC OY AB","ACHEMA",25
"268","PAROC OY AB","ACRON",380
"269","OUTOKUMPU STAINLESS OY","YARA",60
"270","OUTOKUMPU STAINLESS OY","ACHEMA",4122
"271","CH-POLYMERS OY","OTHER EASTERN EUROPEAN",100
"272","CH-POLYMERS OY","YARA",2
"273","STORA ENSO OYJ","YARA",19
"274","FINN-ELOX OY","YARA",49
"275","GENENCOR INTERNATIONAL BV","YARA",4131
"276","St1 Biofuels Oy","YARA",456
"277","BANG & BONSOMER GROUP OY","YARA",5
